COUNTY,2008 COUNT,2008 RATE,2009 COUNT,2009 RATE,2010 COUNT,2010 RATE,2011 COUNT,2011 RATE,2012 COUNT,2012 RATE,2013 COUNT,2013 RATE,2014 COUNT,2014 RATE,2015 COUNT,2015 RATE,2016 COUNT,2016 RATE,2017 COUNT,2017 RATE
Cherokee,8,16.2,1,2,1,2,11,21.8,5,9.9,2,3.9,1,1.9,5,9.2,4,7.3,7,12.6
Childress,1,13,3,38.9,1,12.6,0,0,2,25.1,0,0,0,0,2,27.5,1,13.7,1,13.6
Clay,0,0,0,0,0,0,0,0,1,8.9,2,17.8,2,18,4,35.6,4,35.4,5,43.9
Cochran,0,0,0,0,0,0,0,0,1,29.2,1,29.4,3,91.7,3,90.9,0,0,3,88.9
Coke,0,0,0,0,1,25.5,1,25.5,0,0,0,0,0,0,0,0,1,31.3,1,31.7
Coleman,0,0,5,57.8,4,44.8,0,0,0,0,0,0,0,0,0,0,2,22,4,43.7
Collin,30,3.9,73,9.3,38,4.5,33,3.7,37,4,57,5.9,76,8.3,68,7.2,61,6.2,96,9.4
Collingsworth,2,66.2,2,65.9,1,31.7,0,0,1,31.9,3,95.9,0,0,2,63.6,0,0,0,0
Colorado,1,4.6,0,0,0,0,0,0,4,17.7,0,0,1,4.6,4,18.4,8,36.4,4,18.1
Comal,7,6.4,2,1.8,6,5,10,7.9,8,6.1,15,11,7,5.6,23,17.9,29,21.9,19,13.9
Comanche,0,0,1,7,0,0,1,7,0,0,2,13.9,2,14,5,34.7,4,27.6,7,48
Concho,1,26.8,0,0,0,0,0,0,0,0,0,0,1,23.9,1,23.8,2,47.2,1,23.5
Cooke,1,2.5,1,2.5,3,7.3,5,12.1,5,12,12,28.5,2,5,10,25,11,27.2,8,19.6
Coryell,0,0,2,2.6,3,3.7,0,0,6,7.3,6,7.3,10,12.5,17,20.9,35,42.5,37,44.3
Cottle,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,190.1,1,63.2
Crane,0,0,1,24.3,0,0,0,0,0,0,0,0,0,0,3,61.9,3,60.7,0,0
Crockett,1,23.7,1,23.5,0,0,1,21.6,0,0,0,0,1,25.8,2,51,2,50.7,1,25.1
Crosby,1,15.9,1,15.7,1,15.3,1,15.5,1,15.6,4,63,1,15.3,3,45.2,3,44.5,3,43.7
Culberson,0,0,0,0,0,0,0,0,2,75.2,0,0,1,39.4,0,0,1,38.5,1,38.1
Dallam,4,63.4,2,31.6,3,44.4,5,73.5,3,43.8,2,29,6,82.5,7,94.5,7,92.9,6,78.3
Dallas,147,6.2,208,8.6,129,5.3,145,5.9,196,7.9,204,8.1,230,9.3,260,10.4,277,11,266,10.4
Dawson,0,0,0,0,0,0,0,0,2,13.6,1,6.8,2,14,2,13.9,5,34.6,5,34.4
Deaf Smith,3,16,4,21.4,4,19.5,5,24.1,1,4.8,3,14.3,3,14.5,21,100.1,22,103.2,23,106.4
Delta,0,0,1,18.2,0,0,0,0,0,0,0,0,0,0,1,18.2,0,0,1,17.8
Denton,21,3.3,40,6.1,27,3.8,29,3.9,38,4.9,45,5.6,46,6,85,10.8,57,7,65,7.7
De Witt,1,5,2,9.9,1,4.9,0,0,3,14.5,0,0,4,19.6,2,9.8,8,38.9,8,38.7
Dickens,0,0,0,0,1,35.8,0,0,0,0,0,0,0,0,0,0,1,40.1,0,0
Dimmit,0,0,1,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Donley,0,0,0,0,5,129.2,0,0,1,25.8,0,0,0,0,5,132.2,2,52.6,0,0
Duval,0,0,0,0,6,49.8,1,8.4,1,8.5,0,0,3,24.6,6,49,3,24.4,3,24.2
Eastland,0,0,2,10.9,4,21.3,6,31.9,3,15.9,0,0,4,20.9,1,5.2,0,0,8,41
Ector,5,3.8,7,5.2,9,6.8,4,3,12,8.9,14,10.2,27,18.5,31,20.9,49,32.6,26,17
Edwards,0,0,0,0,0,0,0,0,0,0,1,45.1,1,47.6,0,0,0,0,0,0
Ellis,6,4.1,9,5.9,17,10.7,7,4.2,9,5.3,10,5.6,14,8.3,11,6.3,26,14.6,17,9.3
El Paso,21,2.8,12,1.6,35,4.5,38,4.9,45,5.7,51,6.4,58,6.8,71,8.1,63,7.1,62,6.9
Erath,4,11.3,3,8.4,1,2.5,4,10,4,9.8,5,12.2,2,5.1,9,22.8,13,32.5,18,44.6
Falls,0,0,2,11.3,1,5.3,0,0,3,16,2,10.6,1,5.4,2,10.7,5,26.7,5,26.5
Fannin,1,2.9,2,5.8,1,2.9,1,2.8,2,5.6,1,2.8,1,2.8,2,5.6,4,11.1,4,10.9
Fayette,1,4.1,1,4.1,3,11.9,3,11.7,0,0,4,15.1,1,3.8,7,26.5,4,14.9,11,40.5
Fisher,0,0,1,24.3,1,24,0,0,1,24.2,0,0,0,0,1,25.4,1,25.4,2,50.9
Floyd,2,28,0,0,2,28.9,2,29.3,3,44.4,3,44.8,5,76.2,1,15.2,1,15.2,2,30.3
Foard,0,0,0,0,0,0,0,0,0,0,0,0,1,74.2,0,0,0,0,0,0
Fort Bend,29,5.4,22,3.9,30,5.2,32,5.3,41,6.5,41,6.2,41,5.9,46,6.4,47,6.2,51,6.5
Franklin,1,9.5,0,0,0,0,1,9,0,0,0,0,0,0,2,17.8,0,0,1,8.7
Freestone,0,0,0,0,0,0,1,4.8,0,0,2,9.4,2,9.7,1,4.8,4,18.9,2,9.4
Frio,3,18.4,4,24.5,9,50.1,6,33.2,10,54.9,5,27.3,4,21.8,10,53.6,16,84.4,4,20.8
Gaines,0,0,0,0,0,0,1,6,0,0,0,0,0,0,0,0,1,5,5,24.5
Galveston,10,3.5,11,3.8,9,3.1,20,6.7,10,3.3,25,8.1,42,13.6,31,9.9,47,14.8,42,13.1
Garza,1,19.7,0,0,0,0,1,18.9,1,18.8,3,56.2,0,0,2,29.7,1,14.7,1,14.6
Gillespie,0,0,4,16.2,11,42.5,18,68.1,12,44.4,5,18.1,1,3.7,12,44.1,16,57.6,9,31.8
Glasscock,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,77.3,1,76.8,0,0
Goliad,0,0,0,0,1,13,1,12.9,0,0,1,12.6,0,0,1,12.7,2,25,3,36.9
Gonzales,5,26,8,41,15,73.6,3,14.6,13,62.8,7,33.6,14,67.1,29,137.3,12,56.1,19,87.9
Gray,3,13.2,3,13.2,1,4.4,3,13.1,3,13.1,2,8.7,2,8.6,6,25.4,13,54.5,6,24.9
Grayson,2,1.7,7,5.9,5,4.1,0,0,3,2.4,3,2.4,5,4,7,5.5,8,6.2,8,6.2
Gregg,5,4.2,9,7.6,10,8.1,3,2.4,5,4,1,0.8,5,3.9,5,3.9,12,9.2,17,12.9
Grimes,0,0,0,0,2,7.6,1,3.7,1,3.7,2,7.3,7,24.8,6,20.9,4,13.7,10,33.9
Guadalupe,6,5.1,5,4.1,7,5.4,15,11.2,32,23.1,10,7,13,8.6,31,19.9,48,29.9,55,33.1
Hale,0,0,0,0,1,2.7,2,5.4,15,40.4,14,37.8,5,13.4,8,21.4,4,10.6,10,26.4
Hall,1,28.2,1,27.7,1,26,2,52.1,1,26,0,0,1,29.9,1,29.9,0,0,1,30
Hamilton,0,0,0,0,0,0,0,0,2,21.9,2,21.8,6,69.7,8,92.4,11,126.7,13,149.3
Hansford,1,19.3,0,0,1,19.2,0,0,0,0,0,0,0,0,1,16.5,1,16.3,0,0
Hardeman,0,0,1,23.3,0,0,1,21.7,0,0,0,0,0,0,4,92.7,2,46,4,91.6
Hardin,2,3.9,0,0,0,0,1,1.9,4,7.6,1,1.9,0,0,1,1.7,3,5.1,1,1.7
Harris,190,4.8,153,3.8,202,4.9,164,3.9,222,5.2,284,6.5,316,7.2,300,6.7,357,7.8,441,9.5
Harrison,2,3.1,4,6.2,1,1.5,4,5.9,1,1.5,1,1.4,0,0,3,4.4,3,4.3,3,4.3
Hartley,0,0,2,34.3,0,0,0,0,1,17.1,0,0,0,0,1,16.2,4,64.6,1,16.1
Haskell,2,35.9,0,0,0,0,0,0,0,0,1,17,0,0,0,0,0,0,0,0
Hays,14,9.5,5,3.2,38,23.2,40,23.3,45,25.1,64,34.1,44,23.3,78,39.5,65,31.5,57,26.4
Hemphill,1,28.4,2,56.5,0,0,0,0,0,0,4,109.2,0,0,0,0,1,23.9,1,23.7
Henderson,2,2.5,1,1.3,2,2.5,1,1.2,1,1.2,1,1.2,1,1.2,4,4.9,6,7.3,9,10.9
Hidalgo,52,7.2,67,9.1,86,10.8,32,3.9,63,7.5,116,13.4,77,8.9,458,51.8,474,52.2,563,60.5
Hill,1,2.8,0,0,1,2.7,1,2.7,2,5.3,4,10.4,3,8.1,5,13.4,7,18.6,6,15.7
Hockley,4,17.9,1,4.4,0,0,0,0,3,12.5,10,41.7,8,33.5,9,37.4,12,49.4,14,57.2
Hood,1,2,2,3.9,1,1.8,0,0,8,13.9,2,3.4,5,9.1,10,17.8,7,12.3,6,10.3
Hopkins,1,2.9,1,2.9,3,8.7,2,5.7,0,0,1,2.8,1,2.7,1,2.7,10,27,5,13.3
Houston,0,0,1,4.2,0,0,0,0,0,0,0,0,0,0,1,4.1,5,20.3,6,24.2
Howard,0,0,0,0,2,6,0,0,3,9,3,9,3,8.3,3,8.2,14,38.1,13,35.1
Hudspeth,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Hunt,3,3.6,3,3.6,4,4.4,2,2.2,6,6.5,3,3.2,3,3.3,7,7.5,11,11.6,13,13.5
Hutchinson,3,13.2,1,4.4,0,0,1,4.3,2,8.5,2,8.6,3,13.4,3,13.4,9,40.2,7,31.2
Irion,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,58.9
Jack,0,0,1,11.3,1,11,1,11,1,11,0,0,0,0,4,42.6,2,21.2,0,0
Jackson,1,6.7,1,6.7,1,6.5,2,12.9,1,6.4,0,0,0,0,6,42.1,10,70.2,13,91.1
Jasper,0,0,1,2.8,1,2.8,0,0,0,0,0,0,0,0,1,2.7,2,5.5,1,2.7
Jeff Davis,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,81.6,0,0
Jefferson,4,1.6,2,0.8,0,0,2,0.8,8,3.3,5,2.1,10,3.9,6,2.3,3,1.1,5,1.9
Jim Hogg,0,0,1,19.4,3,54.5,3,54.5,0,0,0,0,1,18.2,0,0,1,17.9,0,0
Jim Wells,4,9.7,3,7.2,10,23.6,3,7,6,14,8,18.5,9,21.2,14,32.7,8,18.5,15,34.5
Johnson,12,7.7,13,8.3,7,4.1,17,9.7,28,15.6,31,16.7,16,9.7,63,37.6,62,36.2,61,34.9
Jones,0,0,1,4.9,2,9.6,1,4.8,1,4.8,0,0,0,0,3,14.1,8,37.3,10,46.2
Karnes,0,0,0,0,0,0,1,5.9,1,5.9,4,23.2,1,6.5,1,6.4,6,38.2,4,25.2
Kaufman,6,6,9,8.7,8,7.4,6,5.4,9,7.7,9,7.4,13,10.9,15,12.1,15,11.6,21,15.7
Kendall,1,3,1,2.9,1,2.8,2,5.4,5,13.1,4,10.1,10,26.4,10,25.6,7,17.4,12,29
Kenedy,0,0,0,0,0,0,0,0,1,208.3,1,205.8,0,0,0,0,0,0,0,0
Kent,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Kerr,1,2.1,0,0,6,12.8,6,12.7,7,14.7,7,14.6,9,17.1,7,13.1,9,16.7,7,12.8
Kimble,0,0,2,43.3,0,0,0,0,0,0,1,20.5,0,0,0,0,2,40.9,3,61
King,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Kinney,1,30.5,0,0,1,29,0,0,0,0,2,57.8,1,26.9,2,53.6,0,0,1,26.6
Kleberg,8,26.1,2,6.5,3,9.4,3,9.4,8,25.2,7,22.2,5,15,4,11.9,5,14.7,2,5.8
Knox,0,0,0,0,2,47.2,3,70.6,0,0,4,93.5,0,0,1,26.7,4,106.6,1,26.6
Lamar,1,2,4,8,3,6,1,2,0,0,1,2,1,2,1,1.9,3,5.8,4,7.7
Lamb,3,20.9,4,28,3,19.2,2,12.8,5,31.8,5,31.6,1,7,9,62.9,4,27.8,4,27.7
Lampasas,0,0,0,0,7,31,1,4.3,3,12.7,6,24.9,5,23.7,12,55.9,10,45.8,7,31.5
La Salle,0,0,2,33.1,0,0,0,0,0,0,1,16.8,1,13.4,3,39.5,0,0,1,12.8
Lavaca,4,20.6,10,51.4,8,40.9,6,30.6,3,15.3,3,15.2,6,30.8,21,107.5,27,137.8,15,76.3
Lee,0,0,0,0,1,5.5,2,10.9,2,10.7,1,5.3,0,0,4,22.4,4,22.1,0,0
Leon,0,0,0,0,2,11.8,0,0,1,5.8,1,5.8,1,5.6,4,22.1,4,21.7,8,42.8
Liberty,4,5.2,5,6.4,3,3.7,7,8.4,8,9.5,5,5.9,12,14.7,6,7.2,6,7.1,13,15.1
Limestone,0,0,0,0,4,17.1,1,4.3,1,4.2,3,12.6,3,12.3,6,24.2,7,28,4,15.8
Lipscomb,2,62.9,0,0,1,31.6,1,31.5,0,0,0,0,1,28.5,0,0,0,0,0,0
Live Oak,3,24.8,0,0,0,0,1,8.1,2,16.2,0,0,0,0,3,25.6,3,25.5,5,42.5
Llano,0,0,0,0,1,5.2,2,10.2,6,30.3,3,15,1,5,9,44.1,8,38.8,4,19.2
Loving,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Lubbock,38,14.4,50,18.5,45,16.8,51,18.9,71,26.2,84,30.8,39,13.4,73,24.7,89,29.8,77,25.4
Lynn,1,16.7,0,0,0,0,2,34,2,34.4,8,139.3,1,16.5,3,49.2,4,65.4,3,48.9
Mcculloch,0,0,1,12.2,1,11.5,0,0,2,22.8,0,0,1,11.7,0,0,5,57.4,2,22.7
Mclennan,14,6.1,14,6.1,34,14.6,38,16.1,28,11.7,36,14.9,29,12,34,13.9,51,20.7,66,26.5
Mcmullen,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,133.3,0,0,0,0
Madison,0,0,1,7.2,2,13.8,0,0,0,0,1,6.7,2,13.8,3,20.5,0,0,5,33.2
Marion,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,8.9
Martin,0,0,2,39.9,2,37.7,1,18.6,0,0,0,0,0,0,3,57.9,4,76.1,2,37.4
Mason,0,0,1,26,1,26.1,0,0,0,0,0,0,0,0,3,72.7,1,24.1,3,72.2
Matagorda,2,5.4,1,2.7,0,0,2,5.1,2,5.1,0,0,2,5.3,0,0,4,10.4,0,0
Maverick,4,7.6,4,7.5,8,14.5,3,5.4,4,7.1,4,7,16,27.6,13,22.1,10,16.7,5,8.2
Medina,1,2.3,0,0,2,4.4,3,6.5,4,8.5,5,10.5,4,8,6,11.7,9,17.2,8,14.9
Menard,0,0,0,0,0,0,0,0,1,40.9,0,0,0,0,0,0,1,42.5,1,42
Midland,16,12.4,17,12.8,21,16.2,12,9.1,14,10.5,15,11.1,12,8.3,50,33.9,49,32.7,47,30.9
Milam,2,7.8,0,0,1,3.8,2,7.5,3,11.2,2,7.4,6,23.5,10,38.8,13,50.1,7,26.7
Mills,0,0,1,19,1,18.1,0,0,0,0,0,0,2,39.8,2,39.6,3,59,3,58.6
Mitchell,0,0,0,0,1,10.2,1,10.2,2,20.4,0,0,0,0,0,0,1,10.2,1,10.1
Montague,2,10,1,5,0,0,0,0,7,34.3,0,0,2,9.8,1,4.9,3,14.4,6,28.6
Montgomery,25,5.8,24,5.4,16,3.4,24,4.8,43,8.2,57,10.5,49,9.3,50,9.1,78,13.7,95,16.1
Moore,1,5,1,4.9,2,9.5,3,14.2,2,9.4,1,4.7,1,4.3,5,21,23,94.8,26,105.5
Morris,0,0,1,7.7,3,22.2,0,0,1,7.4,0,0,0,0,1,7.4,2,14.8,2,14.7
Motley,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Nacogdoches,10,15.9,5,7.8,12,18.7,6,9.3,7,10.7,6,9.1,1,1.5,5,7.3,6,8.6,4,5.7
Navarro,2,4.1,3,6,3,5.8,1,1.9,6,11.3,6,11.1,6,11.8,6,11.7,5,9.6,8,15.1
Newton,0,0,0,0,0,0,0,0,1,6.8,0,0,0,0,0,0,0,0,2,13.9
Nolan,0,0,1,6.6,0,0,1,7,2,14.1,0,0,0,0,14,89.2,14,88.7,16,100.7
Nueces,37,11.5,25,7.7,42,13,35,10.8,44,13.5,55,16.8,64,18.1,79,22.1,56,15.5,93,25.5
Ochiltree,1,10.5,1,10.3,1,10,0,0,0,0,1,9.7,0,0,0,0,0,0,1,8.4
Oldham,0,0,0,0,2,85.4,0,0,0,0,1,42.3,1,47.4,0,0,1,46.6,1,46.2
Orange,1,1.2,0,0,2,2.4,0,0,2,2.4,0,0,2,2.4,6,7.1,3,3.5,0,0
Palo Pinto,0,0,0,0,0,0,0,0,2,6.6,0,0,0,0,10,33.4,11,36.3,10,32.6
Panola,1,4.3,1,4.3,0,0,0,0,0,0,0,0,1,4.1,1,4,1,4,2,7.9
Parker,3,2.7,8,6.9,12,10.1,11,9,8,6.4,8,6.2,10,7.6,20,14.7,33,23.4,32,22.1
Parmer,8,83,4,41.1,3,29.3,6,58.6,1,9.8,4,39,2,18.1,5,44.4,6,52.3,1,8.6
Pecos,2,11.9,0,0,5,28.1,0,0,1,5.6,2,11.1,4,24.7,2,12.2,2,12.1,2,12
Polk,2,4.3,1,2.2,0,0,0,0,3,5.8,2,3.8,1,2.1,1,2.1,1,2,5,10
Potter,16,13.1,11,9,15,11.9,15,11.7,18,13.9,10,7.7,32,25.3,35,27.4,52,40.3,67,51.4
Presidio,0,0,0,0,0,0,1,11.4,1,11.2,2,22.1,0,0,2,24.1,3,35.7,2,23.6
Rains,1,9.1,0,0,0,0,0,0,1,8.8,1,8.7,1,8.5,0,0,3,24.5,2,16.1
Randall,13,11.1,14,11.9,13,10.8,16,13.1,21,17.1,8,6.4,28,21.8,28,21.4,41,30.8,57,42.2
Reagan,0,0,0,0,1,32,0,0,0,0,0,0,0,0,1,27.5,1,27.1,3,80.1
Real,0,0,0,0,0,0,0,0,0,0,3,87.3,0,0,0,0,0,0,0,0
Red River,1,7.4,1,7.4,5,34.7,0,0,0,0,1,7,0,0,0,0,1,7.5,2,15
Reeves,2,17.6,4,34.9,2,18.1,0,0,1,9.4,2,19.1,5,35,6,41.7,2,13.8,6,41.1
Refugio,0,0,2,27,3,42.1,0,0,2,28.7,1,14.5,2,26.8,2,26.7,2,26.7,8,106.8
Roberts,0,0,1,115.2,1,105.5,0,0,0,0,0,0,0,0,0,0,0,0,1,101.2
Robertson,1,6.3,0,0,5,29.6,1,5.9,0,0,1,5.8,2,11.2,3,16.6,9,49,9,48.2
Rockwall,2,2.6,10,12.3,2,2.3,5,5.5,3,3.1,4,3.9,8,8.7,8,8.3,9,9,10,9.7
Runnels,1,9.3,1,9.1,2,17,0,0,3,25.4,1,8.4,0,0,1,9.3,3,27.8,4,36.9
Rusk,2,4.1,3,6.1,0,0,1,2,2,4,1,2,0,0,3,5.2,7,11.8,2,3.3
Sabine,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,8.6,0,0
San Augustine,0,0,0,0,1,10.4,0,0,0,0,0,0,0,0,0,0,0,0,2,21.6
San Jacinto,0,0,2,7.8,0,0,0,0,1,3.4,1,3.4,1,3.5,1,3.4,3,10,4,13.1
San Patricio,10,14.4,4,5.8,9,12.7,6,8.4,4,5.6,7,9.8,9,13.6,17,25.5,4,6,20,29.7
San Saba,0,0,0,0,1,15.7,0,0,3,46.5,1,15.4,2,31.9,0,0,2,31.7,3,47.2
Schleicher,0,0,0,0,0,0,1,31,0,0,0,0,0,0,0,0,0,0,1,26.4
Scurry,2,12.3,10,61.5,1,5.8,2,11.6,3,17.3,1,5.8,2,11.3,2,11.2,7,38.7,2,10.9
Shackelford,1,30,0,0,2,57.7,0,0,0,0,2,56.8,0,0,2,56.3,0,0,2,55.2
Shelby,5,19.1,1,3.8,2,7.5,6,22.4,2,7.4,1,3.7,0,0,1,3.7,1,3.7,5,18.1
Sherman,0,0,1,31.7,0,0,0,0,1,29.5,1,29.5,0,0,0,0,1,30.7,1,30.2
Smith,16,8,21,10.3,4,1.9,14,6.6,4,1.9,5,2.3,6,2.7,15,6.6,30,13.1,44,18.9
Somervell,0,0,0,0,0,0,1,11.4,0,0,0,0,1,10.8,3,31.8,7,72.6,11,111.7
Starr,5,8,5,8,4,5.9,4,5.8,3,4.3,4,5.6,7,10.9,18,27.6,18,27.3,23,34.5
Stephens,0,0,1,10.3,4,39,1,9.7,0,0,1,9.6,0,0,2,20.1,0,0,5,49.5
Sterling,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,83.5,0,0
Stonewall,0,0,0,0,0,0,0,0,1,61.6,0,0,0,0,1,66.3,1,66.1,0,0
Sutton,0,0,0,0,1,21.6,1,21.4,3,63.4,0,0,0,0,0,0,0,0,3,66.6
Swisher,1,12.5,3,37.4,1,12.2,10,122.1,3,36.8,6,74,8,99.7,7,86.9,6,74.3,5,61.7
Tarrant,84,4.8,98,5.5,110,6,164,8.8,204,10.6,197,10,214,11.1,213,10.9,207,10.4,336,16.6
Taylor,10,7.8,7,5.5,12,9.1,13,9.9,11,8.3,11,8.3,10,7.4,12,8.9,23,16.9,32,23.4
Terrell,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Terry,0,0,0,0,0,0,0,0,1,8.9,0,0,0,0,0,0,0,0,1,7.6
Throckmorton,0,0,0,0,0,0,1,53,0,0,0,0,0,0,0,0,2,120.6,0,0
Titus,2,6.6,0,0,0,0,2,6.2,0,0,1,3,0,0,1,2.9,3,8.5,2,5.6
Tom Green,4,3.8,9,8.5,19,18.3,8,7.7,5,4.8,4,3.9,6,5.3,14,12.4,35,31,43,37.9
Travis,114,11.5,131,12.9,182,18.3,140,13.8,182,17.7,216,20.6,179,16,235,20.5,184,15.7,216,18
Trinity,1,7,0,0,0,0,0,0,1,6.5,0,0,1,6.5,0,0,1,6.3,8,49.9
Tyler,0,0,1,4.7,0,0,2,9,1,4.5,0,0,0,0,0,0,2,9,1,4.5
Upshur,3,8,4,10.5,0,0,1,2.6,0,2.6,1,2.6,1,2.4,3,7.1,8,18.7,9,20.8
Upton,0,0,0,0,0,0,0,0,1,0,1,32.3,0,0,2,55.1,2,54.2,3,80.4
Uvalde,1,3.9,0,0,2,7.2,6,21.4,3,10.6,2,7.1,2,7.3,5,18.2,5,18,2,7.2
Val Verde,7,14.6,14,29,19,37.9,10,19.8,16,31.4,9,17.5,8,15.8,7,13.7,8,15.5,12,23.1
Van Zandt,6,11.5,3,5.7,2,3.7,0,0,2,3.7,4,7.2,2,3.6,3,5.4,6,10.7,12,21.2
Victoria,0,0,6,6.8,29,32.5,14,15.6,30,33.3,40,44.2,20,22.4,22,24.5,67,74.1,69,75.8
Walker,3,4.6,1,1.5,1,1.5,3,4.6,4,6.2,9,13.9,7,10,3,4.3,6,8.5,25,35.1
Waller,5,12.9,1,2.6,1,2.4,0,0,1,2.3,3,6.6,10,20.6,6,12,4,7.8,10,18.8
Ward,0,0,0,0,3,30.3,0,0,2,20.6,1,10.4,2,18.3,4,36.5,6,54.5,2,18.1
