COUNTY,AMEBIASIS,ANAPLASMOSIS,"ARBO, OTHER NON-INVASIVE",BABESIOSIS,BOTULISM,BRUCELLOSIS,CAMPYLOBACTERIOSIS,CHLAMYDIA,CHIKUNGUNYA,CHOLERA,CRYPTOSPORIDIOSIS,CYCLOSPORIASIS,DENGUE FEVER,E. COLI SHIGA-TOXIN,EHRLICHIOSIS,EHRLICH/ANAPLAS UNDETERMINED,ENCEPHALITIS (NON-WNV),GIARDIASIS,GONORRHEA,HAEMOPHILUS INFLUENZAE,HANTAVIRUS,HEMOLYTIC UREMIC SYNDROME,HEPATITIS A,HEPATITIS B ACUTE,HEPATITIS B CHRONIC*,HEPATITIS C ACUTE,HEPATITIS C CHRONIC*,"HERPES INF, INFANT <60 DAYS",LABORATORY CONFIRMED INFLUENZA,LEGIONELLOSIS,LISTERIOSIS,LYME DISEASE,LYMPHOGRANULOMA VENEREUM,MALARIA,MEASLES,MELIOIDOSIS,MENINGITIS ASEPTIC,MENINGOCOCCAL,MENINGITIS OTHER BACT. AND UNKNOWN,MUMPS,PERTUSSIS,PSITTACOSIS,Q FEVER,RMSF,RUBELLA,SALMONELLOSIS,SHIGELLOSIS,STREP GROUP A INVASIVE,STREP GROUP B INVASIVE,STREP PNEUMO INVASIVE,SYPHILIS EARLY,SYPHILIS LATE,TETANUS,TOXIC SHOCK SYNDROME,TUBERCULOSIS,TYPHOID FEVER,VIBRIOSIS,VISA,WEST NILE FEVER,WEST NILE VIRUS,YERSINIOSIS,ZIKA VIRUS
LIVINGSTON,0,0,0,0,0,0,11,143,0,0,2,0,0,5,0,0,0,2,10,0,0,0,0,0,1,1,36,0,197,4,1,14,0,0,0,0,1,0,0,1,13,0,0,0,0,6,1,2,6,5,1,0,0,0,0,0,0,0,0,0,0,0
MADISON,0,0,0,0,0,0,11,196,0,0,11,0,0,3,0,0,0,4,24,1,0,0,1,0,1,0,47,0,508,1,0,67,0,1,0,0,2,0,0,0,3,0,0,0,0,11,1,6,6,6,5,0,0,0,0,0,1,0,0,0,0,0
MONROE,1,0,0,2,0,0,117,4988,0,1,12,0,1,30,0,0,1,41,1891,17,0,1,1,2,118,9,350,0,3701,53,1,184,4,5,0,1,0,0,0,2,30,0,0,0,0,114,58,57,101,64,100,72,0,5,14,0,2,0,0,3,4,1
MONTGOMERY,0,6,0,0,0,0,11,198,0,0,1,0,0,2,0,0,0,5,35,1,0,0,1,1,0,2,59,0,306,0,0,42,0,0,0,0,1,0,1,1,0,0,0,0,0,7,0,6,10,4,3,0,0,2,0,0,1,0,0,0,0,0
NASSAU,18,6,0,7,0,0,275,4561,2,0,7,0,2,18,3,1,0,73,717,27,0,0,15,4,485,12,494,0,4484,88,9,128,0,6,0,0,58,1,10,8,47,0,0,7,0,168,45,54,164,109,168,81,0,0,40,7,12,1,2,7,11,11
NIAGARA,1,0,0,0,0,0,15,1013,0,0,2,0,0,0,0,0,2,7,409,6,0,0,1,1,18,5,199,0,311,32,0,7,0,0,0,0,12,0,2,0,1,0,0,0,0,11,3,18,21,21,8,10,0,0,1,0,0,0,0,0,1,0
ONEIDA,0,1,0,0,0,0,22,841,0,0,12,0,0,2,0,0,1,34,162,5,0,0,0,0,54,6,193,0,2829,11,1,96,0,0,0,0,10,0,2,0,5,0,0,0,0,18,1,12,38,23,5,12,0,0,9,0,2,0,0,0,0,0
ONONDAGA,0,1,0,1,0,0,84,2684,0,0,11,0,0,14,0,0,1,29,773,9,0,0,3,3,74,6,464,1,2698,40,2,128,0,10,1,0,45,0,0,158,55,0,0,0,0,66,15,26,48,41,40,4,0,0,6,1,4,0,0,2,3,0
ONTARIO,0,0,0,0,0,0,15,318,0,0,2,0,0,2,0,0,0,6,66,1,0,0,1,1,7,3,52,0,567,8,0,62,0,0,0,0,1,0,0,0,16,0,0,0,0,15,7,5,15,12,2,4,0,0,0,0,0,0,0,0,1,0
ORANGE,7,51,0,60,0,0,74,1542,0,0,8,2,0,4,17,1,2,31,294,11,0,0,4,2,51,5,290,0,1232,11,1,521,0,1,0,0,3,0,0,0,20,0,0,0,0,29,3,14,33,39,51,17,0,0,9,0,0,1,0,0,2,2
